Distance (m),Lean Angle (deg)
3372,-41.7621731735
3373,-40.3275864579
3374,-38.785032374
3376,-37.242381263
3377,-36.0184650292
3378,-35.2945503127
3380,-35.1481908827
3381,-35.5856897411
3383,-36.446507186
3385,-37.1960459143
3386,-37.5653200045
3388,-37.3811189058
3390,-36.446507186
3392,-34.3337565181
3394,-30.9407940445
3396,-26.1816671316
3398,-19.9748936493
3400,-12.5810836532
3402,-4.8474953157
3404,2.6651163766
3406,9.7686184932
3408,16.2804615365
3410,22.1698004655
3413,27.4045091146
3415,31.9778590244
3417,35.9227121028
3419,39.3141482733
3421,42.1865084009
3423,44.4310827743
3426,46.2023519188
3428,47.5685474351
3430,48.5646030315
3432,49.197205175
3434,49.3838954378
3436,49.2751725649
3439,48.9618467995
3441,48.5004664654
3443,47.9650270008
3445,47.4182939816
3447,46.9623445539
3450,46.6367758678
3452,46.4811757845
3454,46.4464677006
3457,46.3943362774
3459,46.167288476
3462,45.6718200497
3464,44.8751493492
3466,43.752120228
3469,42.3067129938
3471,40.770829324
3474,39.2922710498
3477,38.0445166675
3479,37.1031680547
3482,36.6352773107
3485,36.3517951337
3488,36.0662732671
3490,35.6098438504
3493,34.7306627002
3496,33.1716350144
3499,31.2089240636
3502,29.1613123065
3505,27.4045091146
3509,26.2110736361
3512,26.0343196278
3515,26.5044597468
3518,27.3757142972
3521,28.3750908608
3524,29.3560503168
3528,30.1000876054
3531,30.6982528702
3534,31.3157280655
3537,32.1091718075
3540,33.1460336523
3542,34.483068554
3545,35.8987093838
3548,37.1728569132
3551,38.2028601514
3554,38.9622962384
3557,39.3360461527
3560,39.6191686245
3563,39.8784857651
3566,40.2425043174
3569,40.7918121613
3572,41.701091705
3575,42.8223212738
3578,43.9991188069
3581,45.0764019048
3584,45.9029532535
3587,46.2548496869
3590,46.167288476
3593,45.5823987035
3597,44.4124419645
3600,42.5457224142
3603,39.8138391824
3606,36.4701770008
3609,32.6824093033
3613,28.6572772442
3616,24.6917718108
3619,21.2552144586
3623,18.4107405238
3626,16.1457207345
3630,14.3433223906
3633,13.0674145316
3637,12.4766313732
3640,12.3372489529
3644,12.6158640582
3648,13.3098414263
3651,14.3775942795
3655,15.7403485792
3659,17.2185211438
3662,18.6078800496
3666,19.8457023637
3670,20.809529823
3674,21.413750701
3678,21.6981716273
3681,21.6666353819
3685,21.2552144586
3689,20.4895893863
3693,19.0986794417
3696,17.2185211438
3700,14.7882470597
3704,11.8131868098
3707,8.3792852615
3711,4.5208715516
3714,0.5480087833
3717,-3.5393174907
3721,-7.6269182104
3724,-11.6730575085
3728,-15.8079886607
3731,-19.9425775993
3734,-24.1464340844
3737,-28.3184637178
3741,-32.2400673734
3744,-35.5856897411
3747,-38.0218147094
3750,-39.4233981315
3754,-39.8569278799
3757,-39.3797323024
3760,-38.2705168871
3763,-37.1263997703
3767,-36.1854842955
3770,-35.6098438504
3773,-35.5372998498
3777,-36.0662357932
3780,-36.8933310391
3783,-37.6799902268
3787,-38.2930294208
3790,-38.5622342998
3794,-38.3605186549
3797,-37.9764398886
3800,-37.519345704
3804,-37.1960459143
3807,-37.103131573
3811,-37.4963553623
3814,-38.1350775839
3818,-38.8294398621
3821,-39.3797323024
3824,-39.6408415795
3828,-39.2922710498
3831,-38.4278824367
3835,-37.1263997703
3839,-35.5131020116
3842,-33.7060576122
3846,-31.9252202615
3849,-30.5087021136
3853,-29.6329064863
3857,-29.439226756
3861,-29.9356890361
3865,-31.0482020819
3868,-32.318440741
3872,-33.4523850602
3876,-34.2339584042
3880,-34.5078826783
3884,-33.8575546598
3888,-32.5267481383
3891,-30.6711953147
3895,-28.4598962976
3899,-26.0343196278
3903,-23.7496288352
3907,-21.6350853535
3911,-19.7486073009
3915,-18.0481287892
3920,-16.4486145834
3924,-14.9588621762
3928,-13.5862923694
3932,-12.4069314515
3936,-11.6029946717
3941,-11.2519912731
3945,-11.6029946717
3949,-12.3372489529
3953,-13.17132397
3958,-13.9654285924
3962,-14.5146304083
3967,-14.5830582091
3971,-14.2403362272
3975,-13.6553321857
3980,-12.9633087444
3984,-12.3023390728
3989,-12.127870255
3993,-12.3372489529
3998,-12.7202031032
4002,-13.0327041751
4007,-13.136697244
4011,-12.6506350246
4016,-11.8481693826
4021,-10.7591080774
4025,-9.5200630311
4030,-8.2361557232
4035,-7.1238325623
4039,-6.1144762832
4044,-5.1738038915
4049,-4.230272506
4053,-3.2480991394
4058,-2.1180483818
4063,-0.8767723898
4068,0.4749254394
4073,1.8260954451
4077,3.1024260592
4082,3.975854684
4087,4.5208715516
4092,4.7386547249
4096,4.6297798803
4101,4.2666452389
4106,3.8304101108
4110,3.4301169533
4115,3.0295457755
4120,2.5921807922
4124,2.1545136153
4129,1.607082028
4133,0.949843001
4137,0.182693649
4141,-0.6941125727
4146,-1.57059415
4150,-2.2274960581
4154,-2.6650591756
4158,-2.8837560298
4161,-2.9566556878
4165,-2.9202356285
4169,-2.8473312768
4172,-2.8473312768
4176,-3.0659585769
4179,-3.5393174907
4182,-4.230272506
4186,-4.9925425287
4189,-5.6083560126
4192,-5.9699727221
4195,-6.0783718032
4198,-5.9337923237
4201,-5.6806820584
4203,-5.535955258
4206,-5.572129472
4209,-5.861530775
4211,-6.2589018834
4214,-6.6196980571
4216,-7.1597846329
4219,-7.8062655039
4221,-9.1642944518
4223,-13.136697244
4226,-17.9158686731
4228,-21.0645400926
4230,-23.6577200453
4232,-26.1521995959
4234,-28.4598962976
4236,-30.5358079295
4237,-32.3966788564
4239,-34.1339234342
4241,-35.7785907037
4243,-37.358043552
4245,-38.785032374
4247,-40.0288443739
4249,-41.0422820116
4251,-41.8434242287
4253,-42.3466587294
4255,-42.446364128
4257,-42.2065637917
4259,-41.639894122
4261,-40.7288568504
4263,-39.3797323024
4266,-37.4502960847
4268,-35.0992743804
4270,-32.4747817785
4272,-29.8258018973
4275,-27.5483485802
4277,-26.5921899697
4279,-27.1446805813
